,country_code,country,year,gdppc,gini,prog,pubspend_ppp_pc
33842,GBR,United Kingdom,2009,38744.131693043,0.373940635,total,9130.246
38611,GBR,United Kingdom,2010,39598.957119545,0.350878657,total,9292.738
14335,GBR,United Kingdom,2011,42109.6418795749,0.353700293,total,9265.848
22115,GBR,United Kingdom,2012,42497.3404974322,0.351452428,total,9391.883
18822,GBR,United Kingdom,2013,43426.2981405143,0.358,total,9230.561
12755,GBR,United Kingdom,2014,47439.6165895125,0.356090734,total,9195.975
29979,GBR,United Kingdom,2015,44964.3911437292,0.360156422,total,9178.808
38843,GBR,United Kingdom,2016,40985.2351382417,0.351,total,9021.696
6861,GBR,United Kingdom,2017,40572.1214823783,0.357,total,8969.14
5,GBR,United Kingdom,2018,43203.8141057739,0.366,total,8845.972
34594,GBR,United Kingdom,2019,42662.5353740311,0.366,total,8602.624
12819,GBR,United Kingdom,2020,40201.6812422928,0.355,total,9343.244
17844,USA,United States,2013,53409.7507774372,0.3959848,total,10066.8
54,USA,United States,2014,55304.3155317137,0.39381632,total,10219.573
7792,USA,United States,2015,57040.2082136605,0.38955993,total,10466.342
39105,USA,United States,2016,58206.6141931844,0.39123223,total,10660.967
7160,USA,United States,2017,60322.2614241747,0.3899,total,10709.934
7517,USA,United States,2018,63201.0458483771,0.3927,total,10803.048
37178,USA,United States,2019,65604.6815198734,0.3949,total,11028.43
33175,USA,United States,2020,64411.3731779373,0.3773,total,14097.04
