"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 1: Elements and Variables (online),Productivity tools,9345082,22/11/2021 13:00,22/11/2021 14:00,MS TEAMS,"[Bardia Bijani Aval, Bethanie Lim]",4
"[Using IT, Research, Career Development]",Tableau 2: Filtering and Sorting (online),Data science tools and coding,9678705,04/05/2022 12:00,04/05/2022 13:00,https://lse.zoom.us/j/85869172503,[Giorgia Cecchinato],1
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables (online),Data science tools and coding,9541856,29/11/2021 11:00,29/11/2021 12:00,https://lse.zoom.us/j/85725962302,[Andrew Moles],6
"[Using IT, Research, Career Development]",Python for Accounting 1,Data science academic support,9540356,06/12/2021 13:00,06/12/2021 15:00,LRB.R08,"[Sara Luxmoore, Michael Wiemers]",2
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4f: What-If Analysis,Productivity tools,9487688,07/12/2021 11:00,07/12/2021 12:00,LRB.R08,"[Shurjo Rana, Jing Soh]",0
"[Using IT, Research, Career Development]",Tableau 2: Filtering and Sorting,Data science tools and coding,9536015,22/11/2021 13:00,22/11/2021 14:00,LRB.R08,[Giorgia Cecchinato],0
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 3: Data Manipulation,Productivity tools,9532485,08/12/2021 09:00,08/12/2021 10:00,LRB.R08,"[Manuela Capony, Jing Soh]",2
"[Problem solving, Using IT, Career Development, Application of information skills]",PowerPoint 3: Professional Slides (online),Productivity tools,9515556,08/02/2022 14:00,08/02/2022 15:00,MS TEAMS,"[Jack Downes, Shenel Mushtaq]",5
"[Using IT, Research, Career Development]",Python Fundamentals 5: List of Lists (online),Data science tools and coding,9579678,20/01/2022 11:00,20/01/2022 12:00,https://lse.zoom.us/j/84166876573,[Arina Ghanizadegan],4
"[Using IT, Research, Career Development]",Python for Accounting 3,Data science academic support,9644827,23/03/2022 13:00,23/03/2022 15:00,FAW.4.02,"[Ximin Chen, Kashvi Gandhi]",4
"[Using IT, Research, Career Development]",Working with Tabular Data 1: NumPy Arrays (online),Data science tools and coding,9579539,18/01/2022 10:00,18/01/2022 11:00,https://lse.zoom.us/j/86377657285,[Ximin Chen],6
"[Using IT, Research, Career Development]",Python Fundamentals 4 & 5: Fast-track Pilot,Data science tools and coding,9678306,19/05/2022 11:00,19/05/2022 13:00,LBR.R.08,[Adam Gray],9
"[Specific skills, Using IT, Research, Career Development]","R Fundamentals 3: Strings, Factors, and Type Conversion",Data science tools and coding,9623667,02/03/2022 15:00,02/03/2022 16:00,LBR.R.08,[Mario Marset Marset Ehrle],3
"[Using IT, Research, Career Development]",Tableau 2: Filtering and Sorting (online),Data science tools and coding,9597977,01/02/2022 13:00,01/02/2022 14:00,https://lse.zoom.us/j/86021135122,[Giorgia Cecchinato],4
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 2: Numeric Calculations,Productivity tools,9598933,04/02/2022 17:00,04/02/2022 18:00,LBR.R.08,[Bardia Bijani Aval],2
"[Using IT, Research, Career Development]",Excel Bootcamp,Events,9639939,19/03/2022 10:00,19/03/2022 18:00,LSE LIFE Workspace 4a,"[Min Qi Boo, Kashvi Gandhi, Isolde Hegemann, Kara Jessup, Bethanie Lim, Shenel Mushtaq, Eshwar Seshagiri, Jing Soh, Nedelin Velikov]",75
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables,Productivity tools,9527824,02/12/2021 11:00,02/12/2021 12:00,LRB.R08,"[Isolde Hegemann, Shenel Mushtaq]",3
