company,rank,revenues,revenue_change,profits,assets,profit_change,sector,country,years_on_global_500_list,employees,total_stockholder_equity
China South Industries Group,101,71151,1.5,580.3,51857,-61,Aerospace & Defense,China,8,232817,7508
Lukoil,102,70897,-16.3,3090.6,82179,-35.1,Energy,Russia,18,105500,52783
China Communications Construction,103,70751,4.4,1431.3,146763,-16.2,Engineering & Construction,China,10,152666,14824
Groupe BPCE,104,70517,25.5,4410.1,1302721,22.6,Financials,France,8,102827,64820
Sony,105,70170,3.9,676.4,158519,-45.1,Technology,Japan,23,128400,22415
Valero Energy,106,70166,-14.2,2289,46173,-42.6,Energy,USA,17,9996,20024
Target,107,69495,-5.8,2737,37431,-18.6,Retailing,USA,23,323000,10953
Societe Generale,108,69335,-1.1,4284,1457753,-3.5,Financials,France,21,151341,65338
Munich Re Group,109,68700,-1.1,2853.1,282435,-17.2,Financials,Germany,23,43428,33238
Panasonic,110,67775,6.7,1378.4,53702,0.2,Technology,Japan,23,257533,14109
Nippon Life Insurance,111,67388,0.4,2786.9,650429,-17.1,Financials,Japan,23,85171,17261
Zurich Insurance Group,112,67245,11,3211,382679,74.3,Financials,Switzerland,23,52473,30660
Itau Unibanco Holding,113,66876,21.4,6666.4,415972,-13.7,Financials,Brazil,4,94779,37680
People’s Insurance Co. of China,114,66732,3.3,2144.3,134132,-31,Financials,China,8,188570,18145
China National Offshore Oil,115,65892,-2.8,1752.4,166595,-62,Energy,China,11,100821,70827
Marubeni,116,65792,8.2,1433.7,61904,176.4,Wholesalers,Japan,23,39952,15113
Deutsche Post DHL Group,117,65787,-3.8,2918.3,40387,70.8,Transportation,Germany,23,459262,11693
Freddie Mac,118,65665,3.4,7815,2023376,22.6,Financials,USA,21,5982,5075
China Post Group,119,65605,-5.8,4980.3,1221649,18.7,Transportation,China,7,941211,43114
China Minmetals,120,65547,105.6,-446.7,109334,,Materials,China,11,212406,4631
Lloyds Banking Group,121,65208,38.2,2784.4,1010245,111.9,Financials,Britain,23,70433,59327
Lowe’s,122,65017,10.1,3093,34408,21.5,Retailing,USA,20,240000,6434
Metro,123,64853,-9,665,28039,-13.6,Food & Drug Stores,Germany,22,196540,5978
Dell Technologies,124,64806,18.1,-1672,118206,,Technology,USA,17,138000,13243
China FAW Group,125,64784,3.1,2411.3,54772,-25.9,Motor Vehicles & Parts,China,13,122323,24489
BASF,126,63641,-18.6,4485.3,80675,1.4,Chemicals,Germany,23,109543,33545
JXTG Holdings,127,63629,1.8,1477.3,59767,,Energy,Japan,23,26247,12829
MetLife,128,63476,-9.3,800,898764,-84.9,Financials,USA,23,58000,67309
Tewoo Group,129,63324,-1.4,141.7,34713,-11.6,Wholesalers,China,6,17353,3465
Aetna,130,63155,4.7,2271,69146,-5,Health Care,USA,17,49500,17881
PepsiCo,131,62799,-0.4,6329,74129,16.1,"Food, Beverages & Tobacco",USA,23,264000,11095
ENI,132,62694,-32.6,-1619,131349,,Energy,Italy,23,33536,55934
China Telecommunications,133,62387,1,1764.6,115819,2.9,Telecommunications,China,18,413536,50919
Archer Daniels Midland,134,62346,-7.9,1279,39769,-30.8,"Food, Beverages & Tobacco",USA,23,31800,17173
China North Industries Group,135,61326,-0.5,853,53140,6.2,Aerospace & Defense,China,8,234771,13401
COFCO,136,61265,-5,204.5,72072,-23,Wholesalers,China,23,101708,11029
Beijing Automotive Group,137,61130,11.3,1260.6,57783,14.9,Motor Vehicles & Parts,China,5,134765,8037
UPS,138,60906,4.4,3431,40377,-29.2,Transportation,USA,23,335520,405
Anbang Insurance Group,139,60800,124,3883.9,430040,0.9,Financials,China,1,40707,20372
Peugeot,140,59749,-1.5,1913.1,47620,91.8,Motor Vehicles & Parts,France,23,175341,13348
Albertsons Cos.,141,59678,1.6,-373.3,23755,,Food & Drug Stores,USA,13,273000,1371
Dai-ichi Life Holdings,142,59590,-2.5,2134.5,466617,43.5,Financials,Japan,23,62606,11675
Sinochem Group,143,59533,-1.9,468,57484,,Wholesalers,China,22,60576,9195
Intel,144,59387,7.3,10316,113327,-9.7,Technology,USA,23,106000,66226
Mitsubishi,145,59303,2.8,4063.5,141402,,Wholesalers,Japan,23,77164,44137
Auchan Holding,146,58862,-2.2,652.4,38537,13.5,Food & Drug Stores,France,21,342709,10593
Aegon,147,58789,50.5,483.3,448666,-38.7,Financials,Netherlands,22,29380,25647
Prudential Financial,148,58779,2.9,4368,783962,-22.6,Financials,USA,23,49739,45863
Vodafone Group,149,58611,-5,-6904,165420,,Telecommunications,Britain,18,111556,77211
Unilever,150,58292,-1.4,5732.7,59512,5.3,Household Products,Britain,23,168832,17247
Banco do Brasil,151,58093,-13.4,2013.8,426416,-52.3,Financials,Brazil,23,100622,26551
Pemex,152,57774,-21.4,-10256.3,113115,,Energy,Mexico,23,125689,-59909
Telefonica,153,57544,-5.5,2619.7,130396,283.4,Telecommunications,Spain,23,127323,19149
Banco Bradesco,154,57443,31.3,5127.9,366418,-5.7,Financials,Brazil,21,94541,32369
United Technologies,155,57244,-6.2,5055,89706,-33.6,Aerospace & Defense,USA,23,201600,27579
ArcelorMittal,156,56791,-10.7,1779,75142,,Materials,Luxembourg,13,198517,30135
Renault,157,56667,12.7,3780.9,107681,20.7,Motor Vehicles & Parts,France,23,124849,32423
Rosneft Oil,158,56553,-12.7,2705.1,180756,-53.4,Energy,Russia,12,295800,54227
Shandong Weiqiao Pioneering Group,159,56174,5.9,1217.2,31641,8.6,Industrials,China,6,135393,9438
Marathon Petroleum,160,55858,-13.5,1174,44413,-58.8,Energy,USA,6,44460,13557
Disney,161,55632,6,9391,92033,12,Media,USA,23,195000,43265
Aviation Industry Corp. of China,162,55306,-8.2,464.2,124892,-47.4,Aerospace & Defense,China,9,457097,24345
ING Group,163,55282,-16.5,5501.6,888226,0.7,Financials,Netherlands,23,51943,49839
Mitsubishi UFJ Financial Group,164,55185,15.9,8550.1,2722354,7.9,Financials,Japan,16,115276,110573
Royal Ahold Delhaize,165,54955,29.7,917.9,38257,-2.9,Food & Drug Stores,Netherlands,23,225000,17165
Humana,166,54379,0.2,614,25396,-51.9,Health Care,USA,19,51600,10685
Seven & I Holdings,167,53858,7.5,892.9,49244,-33,Food & Drug Stores,Japan,12,54712,20086
Indian Oil,168,53562,-2.1,2960,42132,72.7,Energy,India,23,34999,15724
Roche Group,169,53427,2,9719.9,75609,5.5,Health Care,Switzerland,23,94052,23534
HNA Group,170,53035,79.4,278.9,173095,18.7,Transportation,China,3,220258,14096
Bank of Communications,171,52990,-7.1,10116.9,1209176,-4.4,Financials,China,9,95160,90531
CITIC Group,172,52852,-5.5,3236.3,938261,-14,Financials,China,9,201263,41784
Pfizer,173,52824,8.1,7215,171615,3.7,Health Care,USA,23,96500,59544
Bayer,174,52569,0.3,5010.6,86731,9.9,Health Care,Germany,23,115170,31990
AIG,175,52367,-10.2,-849,498264,-138.7,Financials,USA,22,56400,76300
America Movil,176,52201,-7.4,462.9,73555,-79,Telecommunications,Mexico,11,194193,10143
Korea Electric Power,177,51500,-0.6,6074.1,147265,-48.3,Energy,South Korea,23,43688,59394
Lockheed Martin,178,50658,9.8,5302,47806,47.1,Aerospace & Defense,USA,23,97000,1511
Sysco,179,50367,3.5,949.6,16722,38.3,Wholesalers,USA,23,51900,3480
FedEx,180,50365,6.1,1820,46064,73.3,Transportation,USA,23,335767,13784
Hewlett Packard Enterprise,181,50123,,3161,79679,,Technology,USA,1,195000,31448
Louis Dreyfus Company,182,49838,-10.6,305,19843,44.5,"Food, Beverages & Tobacco",Netherlands,4,17407,5115
Amer International Group,183,49677,3.9,1199.9,18405,5.2,Technology,China,5,17852,10005
Petronas,184,49479,-22,4092.9,134528,21.4,Energy,Malaysia,21,51034,84800
Tokyo Electric Power,185,49446,-2.2,1225.7,110202,4.5,Energy,Japan,23,42060,20905
Novartis,186,49436,-3.1,6712,130124,-62.3,Health Care,Switzerland,23,118393,74832
Cisco Systems,187,49247,0.2,10739,121652,19.6,Technology,USA,18,73700,63586
MS&AD Insurance Group Holdings,188,49239,17.9,1942.2,190596,28.5,Financials,Japan,19,40641,12793
Deutsche Bank,189,48876,-6.8,-1550.4,1677437,,Financials,Germany,23,99744,63102
PowerChina,190,48869,7.2,1057.6,86687,-9.6,Engineering & Construction,China,6,187813,9990
JBS,191,48825,-0.1,107.7,31605,-92.3,"Food, Beverages & Tobacco",Brazil,8,237061,7307
PTT,192,48719,-17.7,2681.6,62349,360.6,Energy,Thailand,14,24934,21309
Tokio Marine Holdings,193,48292,26.6,2527.4,202923,19.2,Financials,Japan,23,38842,16474
HP,194,48238,-53.3,2496,29010,-45.2,Technology,USA,23,49000,-3889
RWE,195,48204,-6.6,-6249.1,80576,,Energy,Germany,23,58652,3898
Dow Chemical,196,48158,-1.3,4318,79511,-43.8,Chemicals,USA,23,56000,25987
Finatis,197,48154,-7.3,687.8,46270,,Food & Drug Stores,France,3,232503,744
Wesfarmers,198,48003,-7.6,296.1,30358,-85.4,Food & Drug Stores,Australia,9,220000,17083
Sinopharm,199,47810,7.9,504,36767,13.7,Health Care,China,5,106772,5658
CNP Assurances,200,47804,-3,1327.3,442027,5.8,Financials,France,23,5035,18491
LG Electronics,201,47712,-4.6,66.2,31348,-39.8,Technology,South Korea,17,75000,9926
Sumitomo Mitsui Financial Group,202,47375,19.2,6520.5,1775349,21,Financials,Japan,23,77205,72876
Reliance Industries,203,46931,8,4458.9,108856,5.6,Energy,India,14,140483,40614
China Baowu Steel Group,204,46606,-11.5,442.8,106725,,Materials,China,14,169344,35728
Noble Group,205,46528,-30.3,8.7,12285,,Wholesalers,China,10,1000,3974
Anheuser-Busch InBev,206,45905,5.3,1241,258381,-85,"Food, Beverages & Tobacco",Belgium,12,206633,71339
Statoil,207,45873,-23.4,-2902,104530,,Energy,Norway,23,20539,35072
POSCO,208,45621,-11.8,1167.5,66361,669.8,Materials,South Korea,23,31768,35057
Kia Motors,209,45425,3.7,2373.8,42141,2,Motor Vehicles & Parts,South Korea,6,51357,22010
Orange,210,45249,1.3,3245.7,99840,10.3,Telecommunications,France,23,155202,32365
ChemChina,211,45177,9.1,17.9,54341,,Chemicals,China,7,110614,3462
Deutsche Bahn,212,44850,0.1,768.6,59716,,Transportation,Germany,23,306368,13246
Continental,213,44842,3,3099.1,38151,2.4,Motor Vehicles & Parts,Germany,15,220137,15050
HCA Holdings,214,44747,2.7,2890,33758,35.7,Health Care,USA,23,210500,-7302
Itochu,215,44654,5.5,3250.6,72902,62.3,Wholesalers,Japan,23,110207,21559
China Merchants Bank,216,44552,-8.1,9344.8,855070,1.8,Financials,China,6,70461,57896
State Bank of India,217,44533,6.8,36,530590,-98.1,Financials,India,12,278872,33450
Woolworths,218,43925,-13.2,-898.3,17495,-150.3,Food & Drug Stores,Australia,21,205000,6305
KDDI,219,43822,17.8,5045.1,56223,22.5,Telecommunications,Japan,20,35032,31904
Swiss Re,220,43786,22.6,3558,215065,-22.6,Financials,Switzerland,23,14053,35634
HBIS Group,221,43769,-3.3,-146.8,51858,,Materials,China,9,125552,7693
CEFC China Energy,222,43743,4.5,740.9,22578,22.8,Energy,China,4,29637,3916
Banco Bilbao Vizcaya Argentaria,223,43698,1.7,3842.8,771837,31.1,Financials,Spain,23,134792,49952
ThyssenKrupp,224,43589,-11,328.6,39411,-7.1,Materials,Germany,23,156487,2362
Saint-Gobain,225,43231,-6.4,1449.8,46158,0.9,Materials,France,23,172696,19790
Lenovo Group,226,43035,-4.2,535.1,27186,,Technology,China,8,52000,3224
Vinci,227,42771,-1.9,2770.1,71642,22.1,Engineering & Construction,France,17,183487,17365
Nippon Steel & Sumitomo Metal,228,42757,4.6,1208.5,65182,-0.2,Materials,Japan,23,100169,23555
Bunge,229,42679,-1.8,745,19188,-5.8,"Food, Beverages & Tobacco",USA,15,32000,7144
Industrial Bank,230,42622,-8.2,8105.9,875731,1.5,Financials,China,5,56236,50382
E.ON,231,42213,-67.3,-9344.4,67179,,Energy,Germany,23,43138,-1113
Sberbank,232,42159,-7.6,8078,415730,121,Financials,Russia,10,325075,46182
China Shipbuilding Industry,233,42149,17,485.8,69621,-62.9,Industrials,China,7,182129,17789
Christian Dior,234,42113,0.5,1740.3,69870,-38.7,Apparel,France,17,120479,12293
Coca-Cola,235,41863,-5.5,6527,87270,-11.2,"Food, Beverages & Tobacco",USA,23,100300,23062
Denso,236,41781,10.9,2377.6,46233,16.9,Motor Vehicles & Parts,Japan,23,154493,29735
Fujitsu,237,41620,5.4,816.7,28646,13,Technology,Japan,23,155069,7910
Guangzhou Automobile Industry Group,238,41560,20.7,551.9,30267,10.8,Motor Vehicles & Parts,China,5,75908,3791
Wilmar International,239,41402,6.8,972.2,37032,-7.9,"Food, Beverages & Tobacco",Singapore,9,90000,14435
Sanofi,240,41376,-0.2,5207.4,110390,9.5,Health Care,France,13,113816,60698
China United Network Communications,241,41274,-6.4,23.2,88626,-95.8,Telecommunications,China,9,253724,11152
Sumitomo Life Insurance,242,40921,31.6,517.5,308346,-6.1,Financials,Japan,23,42245,8491
New York Life Insurance,243,40787,-11.1,1088.1,287196,324.1,Financials,USA,23,11320,20108
Centene,244,40721,78.6,562,20197,58.3,Health Care,USA,2,30500,5895
Shanghai Pudong Development Bank,245,40689,-3.2,7992.8,842832,-0.7,Financials,China,5,52832,52946
Hanwha,246,40606,11,423.7,128247,,Financials,South Korea,12,49000,3650
Tata Motors,247,40329,-4.2,1111.6,42162,-34,Motor Vehicles & Parts,India,8,79558,8942
Aluminum Corp. of China,248,40278,6,-282.5,75089,,Materials,China,10,121146,2669
Mitsui,249,40275,1.6,2825.3,103231,,Wholesalers,Japan,23,42316,33500
Manulife Financial,250,40238,49.4,2209.7,537461,28.9,Financials,Canada,15,34500,31197
China Minsheng Banking,251,40234,-5.2,7201.6,848389,-1.8,Financials,China,5,58720,49297
China Pacific Insurance (Group),252,40193,2.2,1814.9,146873,-35.7,Financials,China,7,97032,18960
American Airlines Group,253,40180,-2,2676,51274,-64.8,Transportation,USA,23,122300,3785
Nationwide,254,40074,-0.4,334.3,197790,-42.4,Financials,USA,23,34320,15537
Merck,255,39807,0.8,3920,95377,-11.8,Health Care,USA,23,68000,40088
Cigna,256,39668,4.7,1867,59360,-10.8,Health Care,USA,22,41000,13723
Delta Air Lines,257,39639,-2.6,4373,51261,-3.4,Transportation,USA,23,83756,12287
Best Buy,258,39403,-0.9,1228,13856,36.9,Retailing,USA,19,125000,4709
China National Building Material Group,259,39323,24,74.5,81224,,Materials,China,7,228448,5822
Honeywell International,260,39302,1.9,4809,54146,0.9,Technology,USA,23,131000,19369
JD.com,261,39155,35.7,-573,23077,,Technology,China,2,120622,4877
Mitsubishi Electric,262,39119,6.9,1942.6,37519,2.1,Technology,Japan,23,138700,18307
ZF Friedrichshafen,263,38888,20.2,949.9,30719,-12.1,Motor Vehicles & Parts,Germany,4,136820,6134
Caterpillar,264,38537,-18,-67,74704,-103.2,Industrials,USA,23,95400,13137
Liberty Mutual Insurance Group,265,38308,-2.9,1006,125592,95.7,Financials,USA,23,50000,20366
Power Corp. of Canada,266,38286,27.9,855.5,315387,-40.5,Financials,Canada,19,30259,10339
Morgan Stanley,267,37949,0.1,5979,814949,-2.4,Financials,USA,20,55311,76050
Hengli Group,268,37880,12.2,821.7,14838,43.7,Industrials,China,1,61400,5498
SSE,269,37813,-12.7,2082.9,29899,200.3,Energy,Britain,12,21157,7842
Massachusetts Mutual Life Insurance,270,37788,-1.2,1273.5,271040,-10.6,Financials,USA,21,11737,15424
Goldman Sachs Group,271,37712,-3.8,7398,860165,21.6,Financials,USA,18,34400,86893
Johnson Controls International,272,37674,-6.3,-868,63253,-155.5,Industrials,Ireland,13,209000,24118
GlaxoSmithKline,273,37642,3,1230.9,72985,-90.4,Health Care,Britain,23,99300,1389
China Huaneng Group,274,37543,-13.1,-85.9,144306,-111.1,Energy,China,9,143691,7512
Energy Transfer Equity,275,37504,-11,995,79011,-16.3,Energy,USA,4,30992,-1694
Shenhua Group,276,37322,-0.8,1916.9,140911,37.9,Energy,China,8,202200,47962
Greenland Holding Group,277,37240,12.8,1085.2,105495,-1,Financials,China,6,39887,8333
TIAA,278,37105,5.5,1492.3,523194,22.9,Financials,USA,20,12997,35583
Jardine Matheson,279,37051,0.1,2503,71523,39.3,Motor Vehicles & Parts,China,18,430000,21800
Oracle,280,37047,-3.1,8901,112180,-10.4,Technology,USA,11,136000,47289
ACS,281,36992,-4.5,830.5,35196,3.2,Engineering & Construction,Spain,13,117542,3778
Sumitomo,282,36888,10.4,1577.1,69669,154,Wholesalers,Japan,23,70900,21241
Tyson Foods,283,36881,-10.9,1768,22373,44.9,"Food, Beverages & Tobacco",USA,16,114000,9608
Barclays,284,36789,-25.7,2807.4,1498612,,Financials,Britain,23,119300,80140
Poste Italiane,285,36617,7.4,687.8,203760,12.3,Financials,Italy,12,136739,8578
Centrica,286,36580,-14.4,2256.7,27046,,Energy,Britain,20,38278,3293
United Continental Holdings,287,36556,-3.5,2263,40140,-69.2,Transportation,USA,22,88000,8659
Allstate,288,36534,2.5,1877,108610,-13.5,Financials,USA,22,43275,20573
Pertamina,289,36487,-12.6,3147,47233,121.6,Energy,Indonesia,5,27227,21864
Magna International,290,36445,7.6,2031,22566,0.9,Motor Vehicles & Parts,Canada,17,155450,9768
UBS Group,291,36230,-5.9,3252.2,920291,-49.6,Financials,Switzerland,23,59387,52777
Intesa Sanpaolo,292,36225,-14.2,3440.3,764712,13.2,Financials,Italy,19,89126,51583
George Weston,293,36211,-1.3,414.9,28299,0.6,Food & Drug Stores,Canada,23,195000,5790
Mitsubishi Heavy Industries,294,36122,7.2,809.6,49205,52.3,Industrials,Japan,23,82728,15074
Rajesh Exports,295,36114,43.1,185.8,3717,13.8,Wholesalers,India,2,328,868
Pegatron,296,35891,-6.1,599.6,13776,-20.1,Technology,Taiwan,5,196251,4601
Meiji Yasuda Life Insurance,297,35767,0.4,2064.8,362739,15.8,Financials,Japan,23,41872,12074
Maersk Group,298,35464,-12,-1939,61118,-345.1,Transportation,Denmark,14,87736,31258
SABIC,299,35421,-10.3,4757.1,84489,-4.9,Chemicals,Saudi Arabia,13,35000,43471
Bouygues,300,35277,-2.2,809.5,36758,81.1,Engineering & Construction,France,23,117997,8585
Volvo,301,35269,-4.8,1535.8,43924,-14,Motor Vehicles & Parts,Sweden,23,89477,10577
Talanx,302,35101,-0.8,1003,165124,23.2,Financials,Germany,4,20039,9574
Lufthansa Group,303,35011,-1.5,1964,36593,4.3,Transportation,Germany,23,107276,7446
Royal Bank of Canada,304,34904,0.3,7839.6,880724,-1.8,Financials,Canada,23,75510,52994
Accenture,305,34798,5.7,4111.9,20609,34.7,Technology,Ireland,16,384000,7555
Repsol,306,34485,-12.5,1919.7,68392,,Energy,Spain,23,24396,32553
China Vanke,307,34458,17.5,3164.5,119555,9.8,Financials,China,2,58280,16324
Publix Super Markets,308,34274,5.1,2025.7,17464,3.1,Food & Drug Stores,USA,23,191000,13473
Edeka Zentrale,309,34193,6.8,356,6921,28.3,Wholesalers,Germany,19,351500,1729
J. Sainsbury,310,34149,-3.5,490.9,24674,-30.8,Food & Drug Stores,Britain,23,118700,7971
Alimentation Couche-Tard,311,34145,-1.1,1193.5,12304,27.9,Food & Drug Stores,Canada,4,105000,5044
China Energy Engineering Group,312,33930,2.1,421,44181,-22,Engineering & Construction,China,4,169173,5140
Hyundai Heavy Industries,313,33881,-17.1,469.8,40783,,Industrials,South Korea,11,30767,13197
ABB,314,33828,-4.7,1899,39499,-1.8,Industrials,Switzerland,23,132300,13395
American Express,315,33823,-1.8,5408,158893,4.7,Financials,USA,23,56400,20501
