company,rank,revenues,revenue_change,profits,assets,profit_change,sector,country,years_on_global_500_list,employees,total_stockholder_equity
Hindustan Petroleum,384,28166,-2.3,1228.1,12370,63.4,Energy,India,14,10422,3245
Migros Group,385,28155,-1.2,693.3,62536,-16.7,Food & Drug Stores,Switzerland,23,77704,17132
Air France-KLM Group,386,27920,-3.4,875.8,24185,569.1,Transportation,France,21,82175,1354
Compass Group,387,27837,2.5,1408.5,13693,5,"Hotels, Restaurants & Leisure",Britain,16,527180,3254
Schlumberger,388,27810,-21.6,-1687,77956,-181.4,Energy,USA,17,100000,41078
Kansai Electric Power,389,27792,2.8,1299.3,61513,10.8,Energy,Japan,23,32666,11205
Quanta Computer,390,27715,-12.7,469.3,18229,-16.4,Technology,Taiwan,12,92698,4123
Westpac Banking,391,27704,-10.8,5477,642083,-12.7,Financials,Australia,13,35280,44468
Coop Group,392,27669,2.8,482.1,18369,11.5,Food & Drug Stores,Switzerland,8,73451,8250
Facebook,393,27638,54.2,10217,64961,177,Technology,USA,1,17048,59194
Travelers Cos.,394,27625,3.1,3014,100245,-12.4,Financials,USA,14,30900,23221
Capital One Financial,395,27519,9.6,3751,357033,-7.4,Financials,USA,7,47300,47514
Twenty-First Century Fox,396,27326,-5.7,2755,48365,-66.8,Media,USA,23,21500,13661
China Guodian,397,27315,-10.5,268.7,114611,-67.2,Energy,China,8,124056,7496
LafargeHolcim,398,27308,11.4,1817.9,68521,,Materials,Switzerland,9,90903,30337
Schneider Electric,399,27307,-7.6,1935.2,44137,24,Technology,France,16,143901,21614
China Electronics Technology Group,400,27292,3.3,1611.6,35898,-1.5,Aerospace & Defense,China,2,158064,15895
USAA,401,27131,11.4,1779.1,147290,-21.7,Financials,USA,4,29943,28840
World Fuel Services,402,27016,-11.1,126.5,5413,-27.5,Energy,USA,6,5000,1925
Phoenix Pharmahandel,403,26976,5.2,135.4,9292,-39.5,Wholesalers,Germany,7,26611,2732
Veolia Environnement,404,26972,-2.6,423.6,40022,-15.2,Energy,France,15,156225,8173
National Australia Bank,405,26958,-21.1,259,594967,-94.8,Financials,Australia,22,34263,39244
Philip Morris International,406,26685,-0.4,6967,36851,1.4,"Food, Beverages & Tobacco",USA,9,79500,-12688
Deere,407,26644,-7.7,1523.9,57981,-21.4,Industrials,USA,23,56767,6520
East Japan Railway,408,26587,11.3,2565,71009,25.5,Transportation,Japan,23,85834,23253
Achmea,409,26494,2.8,-423.5,98096,-199.7,Financials,Netherlands,4,14921,10308
Kraft Heinz,410,26487,44.4,3632,120480,472.9,"Food, Beverages & Tobacco",USA,3,41000,57358
Cathay Life Insurance,411,26292,14.9,934,172442,-22.5,Financials,Taiwan,16,36578,11212
Tech Data,412,26235,-0.5,195.1,7932,-26.6,Wholesalers,USA,19,9500,2170
Samsung Life Insurance,413,26222,7,1770.3,219157,65.3,Financials,South Korea,21,5284,22064
Avnet,414,26219,-6.1,506.5,11240,-11.4,Wholesalers,USA,7,17700,4691
Nokia,415,26113,73.4,-847.1,47354,-131,Technology,Finland,19,102687,21192
Enbridge,416,26073,-1.4,1560.9,64011,695,Energy,Canada,4,7733,15949
Gas Natural Fenosa,417,26070,-11.5,1489.6,49688,-10.6,Energy,Spain,9,17229,16057
Australia & New Zealand Banking Group,418,26032,-10.1,4199.9,699976,-28.4,Financials,Australia,14,46554,44237
LM Ericsson,419,26004,-11.2,200.5,31199,-87.5,Technology,Sweden,23,111464,15395
Sumitomo Electric Industries,420,25975,6.3,992.7,26062,31,Motor Vehicles & Parts,Japan,23,248330,11769
Mondelez International,421,25923,-12.5,1659,61538,-77.2,"Food, Beverages & Tobacco",USA,10,90000,25161
Old Mutual,422,25913,23.8,769.3,211943,-18,Financials,Britain,16,68527,9949
Idemitsu Kosan,423,25888,-1,813.7,23711,,Energy,Japan,23,9139,3852
Bank of Nova Scotia,424,25817,2.8,5362.2,668805,-4.9,Financials,Canada,20,88901,41975
Macy’s,425,25778,-4.8,619,19851,-42.3,Retailing,USA,23,148300,4323
Mapfre Group,426,25775,3.9,857.5,71590,9.1,Financials,Spain,10,37020,9625
La Poste,427,25760,0.8,938.9,257526,33.3,Transportation,France,22,240407,11513
Inditex,428,25733,11.6,3485,21203,9.9,Retailing,Spain,2,162450,13738
AbbVie,429,25638,12.2,5953,66099,15.7,Health Care,USA,2,30000,4636
Datong Coal Mine Group,430,25630,-19.8,-214.8,40012,,Energy,China,5,162542,3169
Lotte Shopping,431,25444,-1.2,144.9,34710,,Retailing,South Korea,4,26357,13502
Standard Life,432,25279,46.9,496.7,235324,-77.2,Financials,Britain,19,6302,5370
Shanxi Coking Coal Group,433,25123,-19.1,-10,39206,-113.1,Energy,China,5,209817,4318
Adecco Group,434,25112,2.9,799.5,10651,8909.5,Business Services,Switzerland,19,33000,3918
International Airlines Group,435,24956,-1.6,2135.4,28868,28.8,Transportation,Britain,20,63387,5649
McDonald’s,436,24622,-3.1,4686.5,31024,3.5,"Hotels, Restaurants & Leisure",USA,23,375000,-2204
NEC,437,24596,4.5,252,24091,-60.1,Technology,Japan,23,107729,7668
DuPont,438,24594,-12,2513,39964,28.7,Chemicals,USA,23,46000,9998
China National Aviation Fuel Group,439,24588,11.3,320,6093,-4.3,Wholesalers,China,7,11739,2263
Northrop Grumman,440,24508,4.2,2200,25614,10.6,Aerospace & Defense,USA,18,67000,5259
Brookfield Asset Management,441,24411,22.6,1651,159826,-29.5,Financials,Canada,1,55700,26453
Mercantil Servicios Financieros,442,24403,50.3,2004.2,148659,-10.5,Financials,Venezuela,1,8370,7550
SAP,443,24397,5.8,4031.9,46696,18.6,Technology,Germany,2,84183,27817
ConocoPhillips,444,24360,-21.3,-3615,89772,,Energy,USA,23,13300,34974
Yangquan Coal Industry Group,445,24284,-14.2,11.1,30793,,Energy,China,5,146236,1783
Danone,446,24267,-2.4,1902.1,46350,33.8,"Food, Beverages & Tobacco",France,23,99187,13825
Samsung C&T,447,24217,105.2,92.5,36816,-96.2,Engineering & Construction,South Korea,1,13898,15155
Shanxi LuAn Mining Group,448,24087,-15.9,-106.9,29026,,Energy,China,5,95666,2542
Raytheon,449,24069,3.5,2211,30052,6.6,Aerospace & Defense,USA,22,63000,10066
Midea Group,450,24060,8.5,2210.4,24549,9.3,Technology,China,2,126418,8796
Chubu Electric Power,451,24028,1.1,1058.2,48580,-25.2,Energy,Japan,23,30635,14695
BAE Systems,452,24011,-6.4,1232.3,28383,-12.1,Aerospace & Defense,Britain,23,76000,4247
Andeavor,453,24005,-14.7,734,20398,-52.3,Energy,USA,11,6308,5465
China Datang,454,23871,-9.7,243.9,101631,32.9,Energy,China,8,97091,7371
Flex,455,23863,-2.3,319.6,12593,-28,Technology,Singapore,17,200000,2645
Arrow Electronics,456,23825,2.3,522.8,14206,5,Wholesalers,USA,4,18700,4413
Heraeus Holding,457,23793,65.9,,4982,,Materials,Germany,7,12369,3160
Compal Electronics,458,23773,-10.9,252.1,10769,-7.9,Technology,Taiwan,6,64728,3283
Yango Financial Holding,459,23657,11.5,159.2,24231,-59,Financials,China,1,10234,1925
Qualcomm,460,23554,-6.8,5705,52359,8.2,Technology,USA,4,30500,31778
Alfresa Holdings,461,23551,9.7,285.1,11273,-2.1,Wholesalers,Japan,8,13217,2993
Alibaba Group Holding,462,23517,47.9,6489.5,73538,-42.2,Technology,China,1,50097,40454
Koc Holding,463,23456,-8.1,1144.2,25047,-12.7,Energy,Turkey,16,95456,7345
Progressive,464,23441,12.4,1031,33428,-18.7,Financials,USA,4,31721,7957
Duke Energy,465,23369,-1,2152,132761,-23.6,Energy,USA,14,28798,41033
Michelin,466,23120,-1.7,1853.4,26705,43,Motor Vehicles & Parts,France,23,105654,11178
Country Garden Holdings,467,23044,27.9,1733.6,85124,17.4,Financials,China,1,94450,10091
Heineken Holding,468,23044,-0.7,861.5,41469,-18.9,"Food, Beverages & Tobacco",Netherlands,11,73525,6958
Enterprise Products Partners,469,23022,-14.8,2513.1,52194,-0.3,Energy,USA,7,6800,22047
AstraZeneca,470,23002,-6.9,3499,62526,23.9,Health Care,Britain,19,59700,14854
Amgen,471,22991,6.1,7722,77626,11.3,Health Care,USA,2,19200,29875
Rabobank Group,472,22956,-4.4,828.3,698790,-15.1,Financials,Netherlands,23,40029,27232
Altice,473,22953,42.2,-1722.5,84805,,Telecommunications,Netherlands,1,49732,-2668
Onex,474,22943,3.8,-130,42913,,Technology,Canada,18,161000,-490
US Foods Holding,475,22919,-0.9,209.8,8945,25.2,Wholesalers,USA,2,25000,2538
Shanxi Jincheng Anthracite Coal Mining Group,476,22875,-17,3,32954,,Energy,China,5,135691,2988
Randstad Holding,477,22873,7.3,650.2,9624,13,Business Services,Netherlands,5,32280,4366
Tencent Holdings,478,22871,39.7,6185.9,56968,35,Technology,China,1,38775,25128
LG Display,479,22840,-9,781.4,20606,-8.6,Technology,South Korea,6,49094,10729
Emirates Group,480,22799,0.3,340.3,33096,-82.5,Transportation,U.A.E,2,64768,9395
