Country Name,Country Code,Region,renergy,gdp,co2
Guinea,GIN,Sub-Saharan Africa,76.26839132,8794202444,0.222181479
"Gambia, The",GMB,Sub-Saharan Africa,51.50886249,1378176868,0.254091837
Guinea-Bissau,GNB,Sub-Saharan Africa,86.85179394,1048229629,0.161178259
Equatorial Guinea,GNQ,Sub-Saharan Africa,7.822799777,13185496881,6.110005776
Greece,GRC,Europe & Central Asia,17.17004755,1.95318E+11,6.285069342
Grenada,GRD,Latin America & Caribbean,10.91957215,997007925.9,2.46343622
Greenland,GRL,Europe & Central Asia,15.53381651,2499115623,
Guatemala,GTM,Latin America & Caribbean,63.65099179,62186186576,1.049628073
Guam,GUM,East Asia & Pacific,0,5799000000,
Guyana,GUY,Latin America & Caribbean,25.25872772,4279840362,2.671242962
High income,HIC,,11.172782,4.79658E+13,10.51965714
"Hong Kong SAR, China",HKG,East Asia & Pacific,0.852783452,3.09384E+11,
Honduras,HND,Latin America & Caribbean,51.53741358,20979767785,1.083079554
Heavily indebted poor countries (HIPC),HPC,,77.23991042,6.65794E+11,0.263170205
Croatia,HRV,Europe & Central Asia,33.12746664,49525747504,3.968023629
Haiti,HTI,Latin America & Caribbean,76.07221323,14857386164,0.31040976
Hungary,HUN,Europe & Central Asia,15.55936205,1.25074E+11,4.407180392
IBRD only,IBD,,17.3934404,2.59409E+13,4.26883584
IDA & IBRD total,IBT,,22.87595835,2.80153E+13,3.338778123
IDA total,IDA,,66.96143976,2.08641E+12,0.502852081
IDA blend,IDB,,63.99726537,9.9969E+11,0.827312986
Indonesia,IDN,East Asia & Pacific,36.8793481,8.60854E+11,1.899658692
IDA only,IDX,,69.74193936,1.0789E+12,0.33666702
Isle of Man,IMN,Europe & Central Asia,4.20758973,7085288006,
India,IND,South Asia,36.02122257,2.10359E+12,1.641198393
Not classified,INX,Europe & Central Asia,,,
Ireland,IRL,Middle East & North Africa,9.081399013,2.91522E+11,7.866937107
"Iran, Islamic Rep.",IRN,Middle East & North Africa,0.913005057,3.84951E+11,7.672481325
Iraq,IRQ,Europe & Central Asia,0.798830769,1.66774E+11,4.559450509
Iceland,ISL,Middle East & North Africa,77.02968921,17517210519,6.227045327
Israel,ISR,Europe & Central Asia,3.707766913,3.00122E+11,7.892507249
Italy,ITA,Latin America & Caribbean,16.51685058,1.8359E+12,5.56325971
Jamaica,JAM,Middle East & North Africa,16.77190746,14188935948,2.521597884
Jordan,JOR,East Asia & Pacific,3.229170042,38587017887,2.73671831
Japan,JPN,Europe & Central Asia,6.297357081,4.38948E+12,9.292832367
Kazakhstan,KAZ,Sub-Saharan Africa,1.558442912,1.84388E+11,11.77918743
Kenya,KEN,Europe & Central Asia,72.66275251,64007750169,0.356946384
Kyrgyz Republic,KGZ,East Asia & Pacific,23.3068222,6678178340,1.7240511
Cambodia,KHM,East Asia & Pacific,64.92377591,18049954289,0.55278394
Kiribati,KIR,Latin America & Caribbean,4.253998693,171117872.4,0.540896265
St. Kitts and Nevis,KNA,East Asia & Pacific,1.642191194,923155555.6,4.687133818
"Korea, Rep.",KOR,Middle East & North Africa,2.707702804,1.46577E+12,11.88886857
Kuwait,KWT,,0,1.14567E+11,22.9534559
Latin America & Caribbean (excluding high income),LAC,East Asia & Pacific,28.97055379,4.65309E+12,2.596054209
Lao PDR,LAO,Middle East & North Africa,59.31586075,14390442307,1.284645373
Lebanon,LBN,Sub-Saharan Africa,3.64671967,49939374833,4.140719561
Liberia,LBR,Middle East & North Africa,83.84704334,3177000000,0.281738703
Libya,LBY,Latin America & Caribbean,1.966554457,27842131480,8.388494488
St. Lucia,LCA,,2.132623536,1808079889,2.12135253
Latin America & Caribbean,LCN,,27.60249959,5.53116E+12,2.864931576
Least developed countries: UN classification,LDC,,73.21950492,9.51978E+11,0.307030456
Low income,LIC,Europe & Central Asia,76.7613028,4.97264E+11,0.252792293
Liechtenstein,LIE,South Asia,63.13444144,6268391521,4.270652609
Sri Lanka,LKA,,52.87589204,80604080689,0.970910825
Lower middle income,LMC,,36.17903101,6.43984E+12,1.600475378
Low & middle income,LMY,Sub-Saharan Africa,23.04864631,2.68273E+13,3.282217922
Lesotho,LSO,,52.13920609,2359759799,1.083044238
Late-demographic dividend,LTE,Europe & Central Asia,14.20181591,1.84733E+13,6.365303594
Lithuania,LTU,Europe & Central Asia,28.96117925,41418872976,3.810789319
Luxembourg,LUX,Europe & Central Asia,9.031313661,57744457955,16.02867957
Latvia,LVA,East Asia & Pacific,38.09801717,27239653844,3.701592949
"Macao SAR, China",MAC,Latin America & Caribbean,7.051363049,45060237946,
St. Martin (French part),MAF,Middle East & North Africa,,,
Morocco,MAR,Europe & Central Asia,11.31745963,1.0118E+11,1.821795354
Monaco,MCO,Europe & Central Asia,,6261622101,
Moldova,MDA,Sub-Saharan Africa,14.27368871,7745231660,2.829393233
Madagascar,MDG,South Asia,70.17441591,11323023787,0.136997154
Maldives,MDV,,1.009594693,4109447297,2.967593875
Middle East & North Africa,MEA,Latin America & Caribbean,1.557856614,3.13294E+12,5.818404651
Mexico,MEX,East Asia & Pacific,9.215213455,1.17187E+12,3.87819451
Marshall Islands,MHL,,11.16448465,183814300,2.611238772
Middle income,MIC,Europe & Central Asia,21.34515344,2.63332E+13,3.600613224
North Macedonia,MKD,Sub-Saharan Africa,24.21812973,10071243243,3.597303946
Mali,MLI,Middle East & North Africa,61.52698472,13104764334,0.195541292
Malta,MLT,East Asia & Pacific,5.355004746,11091434484,3.70742361
Myanmar,MMR,,61.52781165,60291736894,0.360853051
Middle East & North Africa (excluding high income),MNA,Europe & Central Asia,2.530026853,1.4286E+12,3.806555663
Montenegro,MNE,East Asia & Pacific,43.00406055,4054712083,3.793242563
Mongolia,MNG,East Asia & Pacific,3.42973729,11749620620,5.769680363
Northern Mariana Islands,MNP,Sub-Saharan Africa,0,910000000,
Mozambique,MOZ,Sub-Saharan Africa,86.40050892,15950969019,0.208564448
Mauritania,MRT,Sub-Saharan Africa,32.15957247,6166857629,0.729060397
Mauritius,MUS,Sub-Saharan Africa,11.53736196,11692287066,3.136372817
Malawi,MWI,East Asia & Pacific,83.6494337,6373212641,0.071661878
Malaysia,MYS,,5.194442589,3.01355E+11,7.682279042
North America,NAC,Sub-Saharan Africa,10.17618579,1.98015E+13,15.55083364
Namibia,NAM,East Asia & Pacific,26.46842984,11335179561,1.844571323
New Caledonia,NCL,Sub-Saharan Africa,4.759221211,,
Niger,NER,Sub-Saharan Africa,78.93982752,9685577941,0.09849181
Nigeria,NGA,Latin America & Caribbean,86.63562156,4.86803E+11,0.597060396
Nicaragua,NIC,Europe & Central Asia,48.20490919,12756706583,0.846826586
