"symbol","date","open","high","low","close","volume","adjusted"
"SP500","2016-01-04",59.0129011945444,59.3828974844034,58.0470944202844,58.9644129962699,69269464.4777342,50.3147283657016
"SP500","2016-01-05",59.1043824795405,59.6287597476975,58.3974615792154,59.0082730562739,68443542.9039587,50.3311068779042
"SP500","2016-01-06",58.151829159454,58.9596820052906,57.7389110500519,58.3731161245059,71723751.79862,49.8072849765789
"SP500","2016-01-07",57.3078219726899,58.0777650293717,56.5029501029733,56.8805298374372,94354976.3077993,48.5162562380343
"SP500","2016-01-08",57.2605130181897,57.6642809063195,56.0648916465166,56.237769853778,69112429.4793098,47.9642476839313
"SP500","2016-01-11",56.4717255072009,56.9527151627307,55.4708929524841,56.2775112478893,62615013.6104721,47.9948879908466
"SP500","2016-01-12",56.7714736849965,57.2410775482751,55.910957099335,56.7728753948342,65555759.1235622,48.4296755318738
"SP500","2016-01-13",57.0638385107999,57.3677425733314,54.9560233854012,55.2362615581413,76460555.7188162,47.0860402974532
"SP500","2016-01-14",55.3981341308978,56.767556720638,54.5757948861761,56.21291643687,86235890.3852163,47.9211167980373
"SP500","2016-01-15",54.6209600196165,55.6451853989508,54.0667271344045,54.9752419223908,112792846.734612,46.8490019386351
"SP500","2016-01-19",55.5789149634202,56.0674362013298,54.3804025088487,55.0407931956225,69873121.7632146,46.9116248412035
"SP500","2016-01-20",54.1579287128798,55.2206919442367,52.8386717795172,54.4924309002494,87861749.5952901,46.4765723874075
"SP500","2016-01-21",54.6370334375737,55.51453467229,53.8679400443023,54.6577915487789,70962312.2567652,46.6136565521983
"SP500","2016-01-22",55.5442152357367,56.2790915953013,55.0044171458003,55.8499527778409,56534706.2018744,47.6421921976025
"SP500","2016-01-25",55.7430691847591,56.2142972572488,54.8650815106288,55.0536957234783,52275732.8150791,46.9656428465085
"SP500","2016-01-26",55.2716777289712,56.1349028561517,54.7169648849917,55.7226073418347,55332685.6384745,47.508253806704
"SP500","2016-01-27",55.4923947985376,56.2225043565307,54.4474408492211,54.887686450654,72903864.1846955,46.7479081455836
"SP500","2016-01-28",55.6017582963145,56.2643972384684,54.4576049986831,55.42384086708,65329741.9031012,47.254996926199
"SP500","2016-01-29",55.6679910090702,57.057896655755,55.2412002303588,56.8602848635678,77852923.4599459,48.4842166503332
"SP500","2016-02-01",56.5220391349682,57.3382653900028,56.0053145845792,56.9124023210346,56237803.1886462,48.5486518413738
"SP500","2016-02-02",56.4087000253769,56.83978134133,55.4332952543698,55.8361539738823,62727731.1470501,47.6330642435354
"SP500","2016-02-03",56.1922866633471,56.7055243269439,54.4976122982004,55.8983066307406,68762883.3647899,47.6306514838382
"SP500","2016-02-04",55.7246745399911,56.7187485264086,54.9887462009187,56.0287209362186,63177262.8732462,47.7430016066058
"SP500","2016-02-05",55.8274186473084,56.1857969964146,54.1667661998787,54.6897112778283,88389377.5195571,46.5336413034287
"SP500","2016-02-08",53.9237000290134,54.6205723854492,52.6031994108335,53.7403697083628,91785620.9179384,45.6835940998128
"SP500","2016-02-09",53.0191700046022,54.5808830426566,52.6071960943237,53.7436723217707,70502628.8978533,45.7128081628282
"SP500","2016-02-10",54.1610394932662,55.0451917114802,53.5171922567675,53.9150777029754,59698704.5155091,45.9110599951092
"SP500","2016-02-11",53.1160807421531,54.1273918719621,52.4593122961214,53.3974802017969,67250408.7336416,45.5114870596557
"SP500","2016-02-12",53.9743522389421,54.7085554319182,53.3326352758776,54.3391610161938,56341916.3935447,46.29784229332
"SP500","2016-02-16",54.993577727126,55.6677398679714,54.3621189594841,55.2879197139692,68844187.1109228,47.1412516388306
"SP500","2016-02-17",55.9567083986451,56.8803096240523,55.5014252793839,56.4874094311579,89633716.707819,48.2253408728262
"SP500","2016-02-18",56.5515789563289,57.0198717622216,55.7696002067312,56.2003116504288,107920470.752848,47.9603691699739
"SP500","2016-02-19",55.9580335766507,56.6629504495268,55.4580311593268,56.3498673199777,65223051.6702643,48.1190551173763
"SP500","2016-02-22",56.7056593784074,57.5081109241761,56.3917451303139,57.0808992253948,59385613.1791891,48.7540321296536
"SP500","2016-02-23",56.8816261127944,57.2768299823961,56.0643505224566,56.356762450127,51643605.309981,48.1311454833986
"SP500","2016-02-24",55.8295688861913,56.8029426115432,55.189157637013,56.6354755734159,52792847.5523557,48.3797896743892
"SP500","2016-02-25",56.8117443226269,57.44477760376,56.2058650932619,57.2789992451814,49090569.9952733,48.9382283858213
"SP500","2016-02-26",57.549104404561,57.9451710239629,56.743379673537,57.1071427800452,52372445.4066401,48.8096136053149
"SP500","2016-02-29",57.062032441844,57.684189837588,56.5183240122797,56.7375420939928,50383013.2678384,48.5141630468198
"SP500","2016-03-01",57.146865242558,58.2848449388956,56.7931553591545,58.1212308825989,58383651.0154329,49.7211524629729
"SP500","2016-03-02",58.0161455300193,58.5790223465213,57.5041484628807,58.3161856300072,42828950.8636962,49.8803266749274
"SP500","2016-03-03",58.2116345628214,58.7161821651365,57.6199407431209,58.4287647410187,47492219.0125314,49.9723645364371
"SP500","2016-03-04",58.5609203567306,59.0470136159885,57.9515499943366,58.5533217013665,43654021.79771,50.0672020291464
